phenocode,name,category,num_cases,num_controls,path_bucket,path_https
AB1_ACTINOMYCOSIS,Actinomycosis,I Certain infectious and parasitic diseases (AB1_),87,303314,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_ACTINOMYCOSIS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_ACTINOMYCOSIS.gz
AB1_AMOEBIASIS,Amoebiasis,I Certain infectious and parasitic diseases (AB1_),136,305879,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_AMOEBIASIS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_AMOEBIASIS.gz
AB1_ANOGENITAL_HERPES_SIMPLEX,Anogenital herpesviral [herpes simplex] infection,I Certain infectious and parasitic diseases (AB1_),1613,332788,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_ANOGENITAL_HERPES_SIMPLEX.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_ANOGENITAL_HERPES_SIMPLEX.gz
AB1_ASPERGILLOSIS,Aspergillosis,I Certain infectious and parasitic diseases (AB1_),177,335444,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_ASPERGILLOSIS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_ASPERGILLOSIS.gz
AB1_ATYPICAL_CNS_VIRUS,Atypical virus infections of central nervous system,I Certain infectious and parasitic diseases (AB1_),238,340582,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_ATYPICAL_CNS_VIRUS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_ATYPICAL_CNS_VIRUS.gz
AB1_BACT_BIR_OTHER_INF_AGENTS,"Bacterial, viral and other infectious agents",I Certain infectious and parasitic diseases (AB1_),2307,340192,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_BACT_BIR_OTHER_INF_AGENTS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_BACT_BIR_OTHER_INF_AGENTS.gz
AB1_BACT_INTEST_OTH,Other bacterial intestinal infections,I Certain infectious and parasitic diseases (AB1_),5016,305879,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_BACT_INTEST_OTH.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_BACT_INTEST_OTH.gz
AB1_BACTINF_NOS,"Bacterial infection, other or unspecified",I Certain infectious and parasitic diseases (AB1_),16018,303314,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_BACTINF_NOS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_BACTINF_NOS.gz
AB1_CANDIDIASIS,Candidiasis,I Certain infectious and parasitic diseases (AB1_),3475,335444,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_CANDIDIASIS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_CANDIDIASIS.gz
AB1_CHLAMYDIA_OTHER,Other sexually transmitted chlamydial diseases,I Certain infectious and parasitic diseases (AB1_),1777,332788,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_CHLAMYDIA_OTHER.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_CHLAMYDIA_OTHER.gz
AB1_CHOLERA,Cholera,I Certain infectious and parasitic diseases (AB1_),1202,305879,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_CHOLERA.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_CHOLERA.gz
